조사지역,정점,위도,경도,자갈(%),모래(%),실트(%),점토(%),평균,분급,퇴적물유형,IL(%),AVS(%),TOC(%),출현 종수,서식밀도,생체량,다양도,ISEP 등급
완도군 장좌리,하,34°21′20.00″N,126°44′10.00″E,0.8,52.4,31.8,15,4.1,3.4,(g)mS,2.9,0.125,0.537,31,3490,64.58,1.5,7
강진군 송천리,상,34°29′06.00″N,126°44′21.00″E,0.6,4.8,58.8,35.8,7.7,2.8,(g)M,6.3,0,0.821,3,40,17.96,1,1
강진군 송천리,중,34°29′04.00″N,126°44′35.50″E,0.6,16.9,63.3,19.2,5.9,3,(g)M,4.4,0,0.423,9,160,69.66,2,1
강진군 송천리,하,34°29′02.00″N,126°44′50.00″E,0,9.4,66,24.6,6.6,2.8,Z,4.9,0.005,0.502,9,230,54.83,1.7,2
강진군 신기리,상,34°31′23.00″N,126°45′34.00″E,0,0.5,81.3,18.2,6.1,2.1,Z,5.8,0,0.911,3,50,26.84,1,4
강진군 신기리,중,34°31′22.00″N,126°45′57.00″E,0,1.1,67.1,31.8,7.3,2.7,Z,5.9,0,0.601,16,490,222.23,2.4,4
강진군 신기리,하,34°31′21.00″N,126°46′20.00″E,5.8,43.2,33.6,17.4,4.2,4,gM,4.7,0,0.528,21,1220,870.69,2.5,2
강진군 영복리,상,34°34′01.00″N,126°47′43.00″E,1,7.8,41.8,49.4,8.5,3.3,(g)M,8.7,0,1.004,7,230,392.63,1.6,2
강진군 영복리,중,34°33′57.00″N,126°47′34.00″E,0.2,7.2,52.8,39.8,7.8,3.1,(g)M,7.7,0,0.873,9,760,86.28,1.2,5
강진군 영복리,하,34°33′53.00″N,126°47′25.00″E,0.2,5,51.5,43.3,8.1,2.9,(g)M,9,0.002,1.128,8,120,120.53,2,2
강진군 수인리,상,34°28′04.50″N,126°48′24.00″E,4.7,7.4,48.8,39.1,7.6,3.6,(g)M,7.3,0,0.28,7,170,70.66,1.7,4
강진군 수인리,중,34°27′54.00″N,126°48′11.00″E,0,9.9,79.9,10.2,5.1,1.7,Z,2.8,0,0.443,6,150,95.46,1.3,1
강진군 수인리,하,34°27′43.50″N,126°47′58.00″E,0,6.8,70.7,22.5,6.4,2.6,Z,5.2,0.003,0.603,11,310,23.61,1.6,5
고금도 회룡리,상,34°22′55.00″N,126°46′40.00″E,2.5,16.1,47.8,33.6,6.9,3.6,(g)M,7.7,0,0.989,3,50,19.72,1,1
고금도 회룡리,중,34°22′49.00″N,126°46′25.00″E,0,4.6,60.4,35,7.5,2.9,M,7.5,0,1.399,13,790,1282.9,1.7,3
고금도 회룡리,하,34°22′43.00″N,126°46′10.00″E,1.8,6.3,51.5,40.4,7.8,3.4,(g)M,7.9,0.002,1.14,20,1180,10.99,2.3,6
약산도 장용리,상,34°23′50.00″N,126°54′35.00″E,58.5,37.4,1.6,2.5,-0.8,2.2,sG,3.6,0,0.278,8,3100,13.76,0.8,4
약산도 장용리,중,34°23′57.50″N,126°54′45.00″E,0,0.9,52.3,46.8,8.3,2.8,M,7.9,0.018,1.139,14,1620,156.35,1.4,2
약산도 장용리,하,34°24′05.00″N,126°54′55.00″E,0,3.5,58.7,37.8,7.6,2.9,M,8.2,0.117,1.253,14,440,26.49,1.9,4
신지도 신리,상,34°20′10.00″N,126°48′42.00″E,2.4,66.7,21.2,9.7,3.9,2.6,(g)mS,4.7,0,0.316,17,960,59.93,1.8,5
신지도 신리,중,34°20′16.00″N,126°48′35.50″E,0,28.8,44.1,27.1,6.1,3.6,sM,4.7,0.009,0.588,23,3320,139.54,2,5
신지도 신리,하,34°20′22.00″N,126°48′29.00″E,0,1.8,60,38.2,7.4,2.5,M,7.1,0.023,0.916,27,1560,62.04,2.6,3
금당도 가학리,상,34°27′00.50″N,127°01′58.50″E,58,25.5,8.3,8.2,-1.1,4.6,msG,3.6,0.002,0.632,18,1040,350.1,2,3
금당도 가학리,중,34°26′58.50″N,127°01′56.50″E,59.2,28.3,7.2,5.3,-1.2,3.6,msG,2.4,0,0.852,28,4310,410.05,1.9,4
금당도 가학리,하,34°26′56.50″N,127°01′54.50″E,17.7,34.7,30,17.6,3.5,4.6,gM,4.8,0.231,0.964,33,2680,40.26,2.6,7
장흥군 고마리,상,34°34′24.00″N,126°58′48.00″E,0,0.8,70.9,28.3,7.4,2.4,Z,5.5,0,0.657,6,260,29.45,1.6,3
장흥군 고마리,중,34°34′23.00″N,126°59′06.00″E,0,0.2,64.8,35,7.6,2.6,M,6.4,0,0.865,11,530,76.15,1.6,4
장흥군 고마리,하,34°34′22.00″N,126°59′24.00″E,0,0.5,68.7,30.8,7.4,2.5,Z,5.8,0,0.849,14,2190,43.69,0.9,7
보성군 서당리,상,34°42′08.00″N,127°07′40.00″E,0.8,12.9,43.9,42.4,7.9,3.4,(g)M,6.2,0,0.959,7,540,12.81,0.8,6
보성군 서당리,중,34°41′58.00″N,127°07′43.00″E,6.1,44.2,24.4,25.3,4.5,4.6,gM,5.2,0,0.833,6,1000,105.2,0.9,4
보성군 서당리,하,34°41′48.00″N,127°07′46.00″E,14.8,54.5,18,12.7,2.5,4.2,gmS,3.4,0,0.572,12,730,21.87,1.8,5
고흥군 남양리,상,34°43′26.00″N,127°19′40.00″E,1.1,10.6,51.4,36.9,7.5,3.4,(g)M,6.6,0,0.858,8,340,89.28,1.5,4
고흥군 남양리,중,34°43′13.00″N,127°19′25.00″E,0,3.1,54.1,42.8,8.1,2.9,M,8.2,0,1.006,9,280,89.15,1.9,4
고흥군 남양리,하,34°43′00.00″N,127°19′10.00″E,0,0.4,57.4,42.2,7.9,2.8,M,8,0.002,0.994,4,50,0.38,1.3,3
고흥군 가야리,상,34°35′35.00″N,127°10′09.00″E,0.9,72.1,24.3,2.7,3.2,1.4,(g)mS,2.5,0,0.39,12,910,45.03,2.2,5
고흥군 가야리,중,34°35′37.50″N,127°10′06.00″E,1.7,80,15.8,2.5,3,1.4,(g)mS,2.1,0,0.276,13,1190,78.59,1.2,7
고흥군 가야리,하,34°35′40.00″N,127°10′03.00″E,2.1,83.1,11.8,3,3.1,1.3,(g)mS,2.2,0,0.177,13,980,21.01,1.3,5
거금도 석정리,상,34°28′24.00″N,127°08′13.00″E,21.2,67.5,6.5,4.8,0.5,2.5,gmS,1.2,0,0.223,5,530,208.27,0.9,5
거금도 석정리,중,34°28′29.00″N,127°08′18.50″E,15.3,69.4,10,5.3,1.3,2.7,gmS,1.7,0.002,0.33,11,1130,77.25,0.7,7
거금도 석정리,하,34°28′34.00″N,127°08′24.00″E,3.7,50.1,34.2,12,3.6,3.4,(g)mS,3.7,0.002,0.552,9,1490,643.11,0.9,2
고흥군 신흥리,상,34°44′20.00″N,127°22′32.00″E,0,0.6,61.5,37.9,7.9,2.7,M,6.8,0,0.882,4,80,2.6,1.1,4
고흥군 신흥리,중,34°44′20.00″N,127°22′46.00″E,0,0.3,69.8,29.9,7.2,2.6,Z,6.3,0.004,0.777,7,340,2.69,1.3,4
고흥군 신흥리,하,34°44′20.00″N,127°23′00.00″E,0,0.4,69.5,30.1,7.3,2.7,Z,5.2,0,0.649,14,1120,495.44,1.9,3
고흥군 백양리,상,34°30′52.00″N,127°27′30.00″E,0,13.6,64.9,21.5,6.3,2.7,sZ,3.7,0,0.563,4,320,1.64,0.5,7
고흥군 백양리,중,34°30′52.00″N,127°27′40.00″E,0.4,12.8,58.8,28,6.9,3.2,(g)M,5.3,0,0.818,19,510,137.05,2.6,3
고흥군 백양리,하,34°30′52.00″N,127°27′50.00″E,0,5.1,56.8,38.1,7.7,2.9,M,7.2,0,1.035,8,150,1.15,1.9,5
고흥군 신금리,상,34°27′34.00″N,127°29′00.00″E,0,19.9,62.6,17.5,5.7,2.6,sZ,4.5,0,0.577,16,1020,80.776,1.5,5
고흥군 신금리,중,34°27′36.00″N,127°29′06.00″E,0.4,25.2,49.7,24.7,6,3.4,(g)M,6.5,0,1.52,19,590,1023.6,2.5,3
고흥군 신금리,하,34°27′38.00″N,127°29′12.00″E,0.3,26.7,46.3,26.7,5.9,3.8,(g)M,5.4,0,0.881,15,290,373.63,2.5,2
강화군 장화리,상,37°36′29.0″N,126°22′17.0″E,0,6.8,84,9.2,5.1,1.5,Z,2.3,0,0.291,15,810,122.64,1.9,3
강화군 장화리,중,37°36′10.0″N,126°21′06.0″E,0,43.3,51,5.7,4.2,1.3,sZ,3.7,0,0.264,29,2360,85.01,2,6
강화군 장화리,하,37°35′51.0″N,126°19′55.0″E,0,94.6,4.2,1.2,2.7,0.5,S,1.4,0,0.113,9,200,13.97,2,3
강화군 여차리,상,37°35′30.0″N,126°24′18.0″E,1.9,14.8,75.1,8.2,4.9,1.8,(g)M,2.7,0.122,0.44,5,980,159.29,0.2,5
강화군 여차리,중,37°34′25.0″N,126°24′00.0″E,0,13.6,79.1,7.3,4.9,1.3,sZ,3.1,0,0.614,15,720,105.73,1.9,6
강화군 여차리,하,37°33′20.0″N,126°23′42.0″E,1.3,33.7,51.4,13.6,4.9,2.8,(g)M,2.6,0.011,0.349,15,740,865.3,1.8,5
강화군 동막리,상,37°35′34.0″N,126°26′30.0″E,0.1,3.3,79.5,17.1,6.2,2,(g)M,4.3,0.006,0.635,12,2800,171.1,1.1,7
강화군 동막리,중,37°35′06.0″N,126°26′55.0″E,0,5.8,85.7,8.5,5,1.4,Z,2.9,0.033,0.43,10,180,26.23,2.1,3
강화군 동막리,하,37°34′38.0″N,126°27′20.0″E,0,1.8,74.4,23.8,6.5,2.4,Z,4.6,0,0.65,14,2040,372.82,0.8,6
강화군 동검도,상,37°34′38.0″N,126°30′48.0″E,0,2.9,88.3,8.8,5.2,1.3,Z,2.9,0.011,0.388,7,380,42.09,1.1,5
강화군 동검도,중,37°34′36.0″N,126°30′38.0″E,0,7.4,83.8,8.8,5.1,1.4,Z,3.3,0,0.457,10,230,90.44,1.9,4
강화군 동검도,하,37°33′30.0″N,126°30′28.0″E,0,9.5,81.3,9.2,5,1.5,Z,3.2,0,0.487,7,250,3.11,1.2,6
강화군 장흥리,상,37°36′42.0″N,126°31′46.0″E,0,0.1,83.9,16,6.1,1.9,Z,4.1,0,0.58,10,1200,150.37,0.8,7
강화군 장흥리,중,37°36′19.0″N,126°32′11.0″E,0,2.3,86.5,11.2,5.4,1.5,Z,3.2,0.005,0.419,7,1320,62.58,0.8,6
강화군 장흥리,하,37°35′56.0″N,126°32′36.0″E,0.3,23.1,67.1,9.5,4.8,1.9,(g)M,3.4,0.046,0.44,8,560,6.3,1.3,3
강화군 ,상,37°36′00.0″N,126°23′10.0″E,0,18.6,75,6.4,4.7,1.3,sZ,2.8,0,0.315,10,230,79.36,2.2,2
강화군 ,중,37°35′25.0″N,126°22′30.0″E,0,55.5,40.4,4.1,4,1.1,zS,1.9,0,0.209,13,220,95.61,2.5,5
강화군 ,하,37°34′50.0″N,126°21′50.0″E,0,94.4,4,1.6,2.9,0.5,S,1.4,0,0.133,4,40,878.19,1.4,1
강화군 선두리,상,37°35′37.0″N,126°29′11.0″E,0,0.4,76.1,23.5,6.7,2.4,Z,4.5,0,0.684,9,770,31.93,0.6,7
강화군 선두리,중,37°34′43.0″N,126°29′01.0″E,0,1.5,86.8,11.7,5.5,1.6,Z,3.3,0,0.412,12,1230,365.8,0.9,4
강화군 선두리,하,37°33′49.0″N,126°28′51.0″E,0,1.1,79.4,19.5,6.3,2.3,Z,5,0.009,0.837,16,450,173.65,2.6,4
장봉도 남동부,상,37°31′35.0″N,126°21′03.5″E,0,34.4,59.6,6,4.3,1.3,sZ,2,0,0.298,24,2180,674.33,2,5
장봉도 남동부,중,37°31′17.5″N,126°21′21.5″E,0,40.7,54.7,4.6,4.2,0.9,sZ,2.2,0.014,0.284,14,1030,576.27,1.6,3
장봉도 남동부,하,37°31′00.0″N,126°21′39.5″E,0,76.3,20,3.7,3.7,1,zS,2.1,0,0.246,12,310,585.98,2.1,4
장봉도 북서부,상,37°32′14.5″N,126°21′17.0″E,0.2,2.3,75.3,22.2,6.7,2.3,(g)M,5.5,0,0.78,10,740,167.71,1.5,5
장봉도 북서부,중,37°32′40.5″N,126°21′27.5″E,0,4,79.3,16.7,6,2.1,Z,3.7,0,0.56,10,270,37.33,2.1,3
장봉도 북서부,하,37°33′06.5″N,126°21′37.0″E,0,8.8,71.9,19.3,6.2,2.4,Z,4.5,0,0.626,14,570,194.44,1.3,5
장봉도 서부,상,37°32′19.0″N,126°19′45.5″E,0,34.1,55.9,10,4.9,2.1,sZ,2.3,0.002,0.402,2,20,1.51,0.7,3
장봉도 서부,중,37°32′18.5″N,126°19′36.0″E,0,29.8,62.5,7.7,4.6,1.5,sZ,2.9,0,0.488,16,580,140.36,2.1,5
장봉도 서부,하,37°32′18.0″N,126°19′26.5″E,0,40.6,52,7.4,4.5,1.5,sZ,2.2,0,0.283,15,340,253.81,2.5,4
장봉도 북동부,상,37°32′17.0″N,126°22′17.0″E,1.4,2,82.8,13.8,5.8,1.9,(g)M,3.3,0,0.485,11,300,70,2.1,4
장봉도 북동부,중,37°32′38.0″N,126°22′18.0″E,0,11.4,72.2,16.4,5.8,2.3,sZ,2.7,0.008,0.555,15,450,440.82,2.4,2
장봉도 북동부,하,37°32′59.0″N,126°22′19.0″E,0,13.6,72.8,13.6,5.4,2,sZ,2.5,0,0.408,18,600,470.69,2.4,4
장봉도 남서부,상,37°31′44.0″N,126°20′16.0″E,1.8,5.5,83.4,9.3,5.2,1.8,(g)M,2.5,0,0.375,11,240,189.76,2.2,4
장봉도 남서부,중,37°31′33.0″N,126°20′14.0″E,0,8,82,10,5.2,1.6,Z,2.6,0.005,0.566,14,370,106.86,2.2,3
장봉도 남서부,하,37°31′22.0″N,126°20′12.0″E,0,53,44,3,4,0.7,zS,1.7,0,0.219,13,380,268.11,2.2,5
인천시 고잔동,상,37°22′50.0″N,126°42′48.0″E,0.5,4.5,82.9,12.1,5.6,1.8,(g)M,3,0,0.362,6,450,19.3,0.7,3
인천시 고잔동,중,37°22′33.0″N,126°42′42.0″E,0,2.6,80.1,17.3,6,2.2,Z,4.1,0.048,0.64,7,200,24.38,1.4,3
인천시 고잔동,하,37°22′16.0″N,126°42′36.0″E,0,12.4,69.6,18,5.9,2.4,sZ,3.6,0.026,0.576,7,350,111.36,1.3,3
인천시,상,37°22′26.0″N,126°41′50.0″E,0,13.1,79.1,7.8,4.8,1.4,sZ,2.6,0.067,0.392,4,90,160.34,1.3,1
인천시,중,37°22′17.0″N,126°42′07.0″E,0,6.4,78.8,14.8,5.6,2,Z,3.4,0.065,0.486,7,300,257.57,1.5,1
인천시,하,37°22′08.0″N,126°42′24.0″E,0,7.7,80.2,12.1,5.4,1.8,Z,4,0.217,0.561,8,260,97.44,2,2
송도 서부,상,37°24′52.0″N,126°36′26.0″E,0,5.1,88.1,6.8,5,1.2,Z,2.2,0,0.213,12,360,31.03,2.2,5
송도 서부,중,37°24′42.0″N,126°36′13.0″E,0,53.9,41,5.1,4.1,1.1,zS,2,0.042,0.231,16,1200,385.06,1.7,5
송도 서부,하,37°24′32.0″N,126°36′00.0″E,0,85.8,11.7,2.5,3.5,0.7,zS,1.6,0,0.157,18,300,19.14,2.8,5
시흥시 ,상,37°23′50.0″N,126°45′31.0″E,0,1.2,88.3,10.5,5.5,1.5,Z,2.9,0,0.314,1,10,151.14,,
시흥시 ,중,37°23′52.0″N,126°45′30.0″E,0,3.6,78.4,18,6.1,2.2,Z,3.1,0,0.213,2,30,0.09,0.6,4
시흥시 ,하,37°23′54.0″N,126°45′29.0″E,0,1.6,71.4,27,6.9,2.6,Z,6.7,0,1.159,3,500,149.31,0.8,4
대부남동 서부,상,37°12′41.0″N,126°32′38.0″E,1.6,19.8,72.7,5.9,4.6,1.3,(g)M,2,0,0.244,21,1710,57.19,2,5
대부남동 서부,중,37°12′40.5″N,126°32′25.0″E,0,42.7,47.9,9.4,4.6,1.7,sZ,2.2,0,0.348,14,550,51.47,1.9,5
대부남동 서부,하,37°12′40.0″N,126°32′12.0″E,0,28.8,55.2,16,5.4,2.4,sZ,4,0,0.679,12,950,10.8,0.9,7
대부남동 남서부,상,37°12′03.0″N,126°33′21.0″E,0.5,11.6,81.8,6.1,4.9,1.3,(g)M,2.2,0,0.358,16,500,237.39,2.1,4
대부남동 남서부,중,37°11′50.0″N,126°33′09.0″E,0.5,33,60.4,6.1,4.4,1.3,(g)M,1.8,0,0.206,20,740,8.76,2.3,4
대부남동 남서부,하,37°11′37.0″N,126°32′57.0″E,0,19.2,64.2,16.6,5.7,2.3,sZ,3.1,0,0.468,9,530,8.19,1.4,7
대부남동 남동부,상,37°12′23.0″N,126°34′27.0″E,1,10.6,76.7,11.7,5.3,2,(g)M,3.1,0.007,0.422,7,170,133.15,1.7,4
대부남동 남동부,중,37°11′49.0″N,126°34′52.0″E,0,12,78.4,9.6,5,1.6,sZ,2.4,0.005,0.256,10,470,158.43,1.7,4
대부남동 남동부,하,37°11′15.0″N,126°35′17.0″E,0,39.7,52.6,7.7,4.4,1.5,sZ,2.2,0,0.332,11,470,52.7,1.6,6
대부남동 동부,상,37°12′44.0″N,126°35′48.0″E,0.2,33.5,51.2,15.1,5.2,2.7,(g)M,3.3,0,0.355,4,210,376.4,1.1,4
대부남동 동부,중,37°12′14.0″N,126°36′07.0″E,0,12.3,80.8,6.9,4.8,1.2,sZ,1.9,0,0.202,14,470,537.97,2.3,3
대부남동 동부,하,37°11′44.0″N,126°36′26.0″E,0.3,9.1,80.7,9.9,5.1,1.6,(g)M,2.5,0,0.339,8,310,174.83,1.8,1
서산시 기은리,상,36°58′26.0″N,126°22′27.0″E,0.1,16.3,77.1,6.5,4.7,1.3,(g)M,2.3,0.007,0.249,4,770,27.16,0.3,7
서산시 기은리,중,36°58′24.0″N,126°22′10.0″E,0.7,55.2,39.8,4.3,4.1,1,(g)mS,2.1,0,0.203,12,450,103.29,1.9,4
서산시 기은리,하,36°58′22.0″N,126°21′53.0″E,0,57.9,36.3,5.8,4.1,1.2,zS,2.2,0,0.263,8,170,500.42,1.9,4
서산시 오지리,상,36°56′45.0″N,126°22′13.0″E,0.4,5.1,78.3,16.2,6,2.1,(g)M,3.2,0,0.419,12,760,48.74,1.6,4
서산시 오지리,중,36°56′31.0″N,126°22′11.0″E,0,5.3,84.5,10.2,5.4,1.6,Z,2.3,0.002,0.248,7,640,45.64,0.5,7
서산시 오지리,하,36°56′17.0″N,126°22′09.0″E,0,30.6,58.9,10.5,4.8,1.8,sZ,2.9,0.006,0.415,13,2090,80.05,0.6,7
환성리,상,36°54′33.0″N,126°24′24.0″E,0,7.7,74.2,18.1,6.1,2.3,Z,3.8,0,0.501,9,270,129.78,1.4,4
환성리,중,36°54′32.0″N,126°24′06.0″E,0,5.6,78.1,16.3,5.9,2.1,Z,3.3,0,0.427,10,570,154.32,1.4,3
환성리,하,36°54′31.0″N,126°23′48.0″E,0,14,62.8,23.2,6.3,2.8,sZ,3.5,0.047,0.445,7,960,211.98,0.9,3
중왕리,상,36°53′01.0″N,126°22′23.0″E,0,10.1,71.5,18.4,5.9,2.4,sZ,2.8,0,0.462,13,1450,93.02,1.3,6
중왕리,중,36°53′27.5″N,126°21′55.0″E,0,32.9,53.3,13.8,5.2,2.2,sZ,2.9,0.001,0.447,10,310,18.18,2,4
중왕리,하,36°53′54.0″N,126°21′27.0″E,0,44.7,42.2,13.1,4.9,2.3,sZ,2.4,0.003,0.375,21,740,156,2.5,5
태안군 내리,상,36°55′12.0″N,126°18′04.0″E,13.8,40.5,36.1,9.6,2.9,3.7,gM,2.9,0,0.392,8,190,236.46,1.8,2
태안군 내리,중,36°55′13.0″N,126°18′31.0″E,0,11.7,80.8,7.5,4.8,1.4,sZ,2.4,0,0.271,15,5380,142.74,0.7,7
태안군 내리,하,36°55′14.0″N,126°18′58.0″E,0,31.7,54.4,13.9,5.2,2.3,sZ,3,0.004,0.527,17,820,814.82,2.2,3
서산시 호리,상,36°51′49.0″N,126°20′43.0″E,0,14.8,77.3,7.9,4.8,1.4,sZ,2.4,0,0.27,13,800,3.46,1.4,7
서산시 호리,중,36°52′16.0″N,126°20′35.0″E,0,43.5,50.4,6.1,4.3,1.2,sZ,2.1,0.003,0.192,17,780,128.33,2.1,4
서산시 호리,하,36°52′43.0″N,126°20′27.0″E,0,60.6,32.5,6.9,4,1.4,zS,2.1,0.005,0.224,17,1640,121.56,1.8,6
당산리,상,36°52′59.0″N,126°18′56.0″E,0.2,4.7,83.6,11.5,5.4,1.7,(g)M,3.3,0,0.426,8,130,107.305,1.9,4
당산리,중,36°52′46.0″N,126°19′13.0″E,0,8.3,80.3,11.4,5.2,1.7,Z,3,0,0.336,7,500,58.06,1.2,5
당산리,하,36°52′33.0″N,126°19′30.0″E,0,66.1,28.8,5.1,3.9,1.1,zS,1.8,0,0.257,15,1870,62.82,1.5,7
서천군 당정리,상,36°05′59.0″N,126°37′30.0″E,0,5.6,88.3,6.1,4.8,1.1,Z,1.9,0,0.307,22,2740,475.05,1.4,5
서천군 당정리,중,36°05′29.0″N,126°37′00.0″E,0,75.2,21.6,3.2,3.2,1.3,zS,1.6,0,0.232,16,1000,890.27,2,1
서천군 당정리,하,36°04′59.0″N,126°36′30.0″E,0,64.2,32.7,3.1,3.6,1.1,zS,1.7,0,0.176,14,550,13.03,2.2,5
유부도 북부,상,36°00′26.0″N,126°36′20.0″E,0,82.6,13,4.4,3.2,1.3,zS,2.3,0.009,0.304,19,2410,699.943,1.8,3
유부도 북부,중,36°00′45.0″N,126°35′56.0″E,0,88.5,8.1,3.4,3.1,0.9,zS,1.8,0,0.224,15,4970,1418.25,1,6
유부도 북부,하,36°01′04.0″N,126°35′32.0″E,0,95.6,2.5,1.9,2.8,0.4,S,2,0,0.168,18,530,13.96,2.4,3
선도리,상,36°07′34.0″N,126°35′29.0″E,0,85.2,13.2,1.6,2.9,0.8,zS,1.1,0,0.131,19,950,118.36,2.3,5
선도리,중,36°07′24.0″N,126°35′18.0″E,0,41,55.2,3.8,4.1,0.9,sZ,1.7,0,0.189,19,920,71.58,2.5,4
선도리,하,36°07′14.0″N,126°35′07.0″E,0,55,42.5,2.5,4,0.5,zS,1.5,0,0.159,23,850,112.67,2.6,3
유부도 남부,상,36°00′20.0″N,126°36′35.0″E,0,65.5,28.1,6.4,3.4,2,zS,2.5,0,0.258,4,180,127.96,0.8,2
유부도 남부,중,35°59′52.0″N,126°37′00.0″E,0,11.3,63.8,24.9,6.6,2.8,sZ,5.6,0.019,0.716,15,1110,155.52,1.5,5
유부도 남부,하,35°59′24.0″N,126°37′25.0″E,0,19.9,56.4,23.7,6.2,2.9,sZ,5.1,0.031,0.765,8,370,176.5,1.5,4
고창군 두어리,상,35°32′30.0″N,126°33′20.0″E,0,59.4,38.3,2.3,3.4,1.2,zS,1.6,0,0.165,14,570,197.32,2,3
고창군 두어리,중,35°33′25.0″N,126°32′25.0″E,0,47.9,46.8,5.3,4,1.4,sZ,2.3,0.031,0.292,10,580,3204.44,1.3,2
고창군 두어리,하,35°34′20.0″N,126°31′30.0″E,0,82.1,15.1,2.8,3.2,0.9,zS,2.1,0.035,0.238,13,780,1099.33,2.2,1
고창군 상암리,상,35°34′16.0″N,126°36′48.0″E,0,9.7,76.1,14.2,5.5,2,Z,2.9,0.005,0.286,3,80,243.97,1,2
고창군 상암리,중,35°34′35.0″N,126°36′26.0″E,0.1,34.4,57.7,7.8,4.5,1.6,(g)M,3.8,0.032,0.454,10,1440,676.5,1.2,3
고창군 상암리,하,35°34′54.0″N,126°36′04.0″E,0,42.8,49.6,7.6,4.3,1.5,sZ,2.7,0.001,0.309,14,530,580.9,2.4,4
만돌리,상,35°32′06.0″N,126°30′54.0″E,0,97.3,1.7,1,2.4,0.5,S,0.9,0,0.166,11,440,61.57,2.1,4
만돌리,중,35°32′25.0″N,126°30′32.0″E,0,62.4,34,3.6,3.9,0.8,zS,1.7,0,0.198,7,500,4424.8,1.3,4
만돌리,하,35°32′44.0″N,126°30′10.0″E,0,50.3,41.9,7.8,4.4,1.6,zS,1.8,0.004,0.223,10,240,1919.49,2.1,2
부안군 줄포리,상,35°35′26.0″N,126°39′10.0″E,0,1.7,79.5,18.8,6.3,2.2,Z,3.5,0,0.418,8,380,257.71,1.5,5
부안군 줄포리,중,35°35′06.0″N,126°38′48.0″E,0,9.9,82.8,7.3,4.9,1.3,Z,2.1,0,0.245,7,150,456.62,1.8,4
부안군 줄포리,하,35°34′46.0″N,126°38′26.0″E,0,25.8,54.1,20.1,5.9,2.6,sZ,3.5,0,0.525,9,150,10.56,2.1,3
부안군 우포리,상,35°34′32.0″N,126°39′50.0″E,0.2,4.5,87.9,7.4,5.1,1.3,(g)M,1.8,0,0.181,7,430,216.58,1.2,5
부안군 우포리,중,35°34′31.0″N,126°39′26.0″E,0,15.1,62.6,22.3,6.2,2.7,sZ,2.8,0,0.379,8,450,65.83,1.5,3
부안군 우포리,하,35°34′30.0″N,126°39′02.0″E,0,12.6,69.7,17.7,5.8,2.4,sZ,4.5,0,0.647,9,200,69.3,1.8,4
무안군 유월리,상,35°06′15.0″N,126°20′09.0″E,0.3,3.2,70.8,25.7,6.9,2.6,(g)M,3.8,0,0.608,8,200,251.91,1.8,1
무안군 유월리,중,35°06′19.5″N,126°20′38.0″E,0.3,0.9,74.6,24.2,6.8,2.4,(g)M,4,0.422,0.679,9,530,543.9,2,3
무안군 유월리,하,35°06′24.0″N,126°21′07.0″E,0,0.5,78.9,20.6,6.5,2.3,Z,3.3,0.043,0.539,14,510,177.55,2.2,4
함평군 석창리,상,35°03′56.0″N,126°26′44.0″E,8.2,25.5,50.6,15.7,4.4,4,gM,2.2,0,0.362,4,110,55.32,1,5
함평군 석창리,중,35°04′15.0″N,126°26′00.0″E,0,0.6,68.8,30.6,7.3,2.7,Z,4.2,0,0.555,9,900,38.21,1.3,6
함평군 석창리,하,35°04′34.0″N,126°25′16.0″E,0,1.7,59,39.3,7.7,2.9,M,5.3,0,0.59,8,290,125.77,1.4,2
해운리,상,35°01′46.0″N,126°25′08.0″E,16.9,56.5,15.8,10.8,2.3,3.8,gmS,2.6,0.021,0.305,11,590,25.11,1.9,5
해운리,중,35°02′12.0″N,126°25′00.0″E,1.6,23,33.3,42.1,6.7,4.6,(g)M,5.4,0,0.724,9,800,19.24,1.2,5
해운리,하,35°02′38.0″N,126°24′52.0″E,26.3,63.7,5,5,0.4,2.4,gmS,1.2,0,0.188,27,1410,43.67,2.9,5
무안군 마산리,상,35°04′47.0″N,126°21′59.0″E,0.7,3.2,61.3,34.8,7.6,2.9,(g)M,6.6,0.209,0.895,6,140,109.06,1.6,4
무안군 마산리,중,35°05′06.0″N,126°22′04.0″E,0,11,57.5,31.5,7,3.3,sM,4.2,0,0.552,9,620,30.56,1.5,6
무안군 마산리,하,35°05′25.0″N,126°22′09.0″E,0,2.5,66.6,30.9,7.2,2.8,Z,6.1,0,0.7,6,200,20.24,1.3,4
증도 증서지,상,34°59′52.0″N,126°08′07.0″E,1.6,96,1.4,1,1.2,1,(g)S,1,0,0.145,3,70,0.1,1,6
증도 증서지,중,34°59′41.0″N,126°07′49.0″E,0,97.3,0.9,1.8,2.9,0.3,S,1.3,0,0.173,17,2270,509.66,1.6,5
증도 증서지,하,34°59′30.0″N,126°07′31.0″E,0,46.9,49,4.1,4,1.3,sZ,2.8,0,0.234,8,150,7.7,1.9,5
증도 방축리,상,35°01′08.0″N,126°07′24.0″E,0,1.4,66.3,32.3,7.4,2.6,Z,7,0,0.768,14,710,76.42,1.7,5
증도 방축리,중,35°01′21.0″N,126°07′19.0″E,0,0.7,79.3,20,6.5,2.2,Z,4.2,0,0.485,11,180,8.73,2.3,4
